Feature,Accuracy,Change of Accuracy
without is_amazon,0.6346518829287783,-9.685845569873152
without reviews_delta,0.6989961042852861,-3.251423434222367
without is_shipped_by_amazon,0.719478573569074,-1.203176505843584
without stars_delta,0.7194885625811607,-1.202177604634913
without is_top_clicked,0.7216012386374987,-0.9909099990011105
without random_noise,0.7230196783538108,-0.8490660273699047
without is_sold_by_amazon,0.7244331235640796,-0.7077215063430176
All Features,0.7315103386275098,0.0
