search_term,position_first_amazon,position_first_non_amazon,position_first_wholly_non_amazon,amazon_stars,amazon_reviews,non_amazon_stars,non_amazon_reviews,wnon_amazon_stars,wnon_amazon_reviews
bff gifts,14.0,2,8.0,4.3,1004,4.6,3627,4.6,1070
bff gifts for teen girls,1.0,3,20.0,4.3,1426,4.6,5295,3.7,41
bff gifts for women,1.0,3,,4.3,93,4.8,9845,,
bff necklace,1.0,3,18.0,4.2,926,4.6,853,4.6,1070
bff necklace for 2,1.0,3,,4.1,75,4.6,1070,,
bff necklaces,,2,11.0,,,4.6,853,4.6,1070
bff necklaces for 2 friends,,2,20.0,,,4.6,1070,1.0,1
bgment blackout curtains,55.0,5,,4.5,22899,4.7,21085,,
bgsd women coat,17.0,5,6.0,4.6,2093,4.0,86,4.3,185
bh cosmetics eyeshadow palette,33.0,1,18.0,4.5,2589,4.5,1008,4.5,3993
bha,26.0,5,34.0,4.5,319,4.6,20466,4.5,1495
bhg cube storage,30.0,1,1.0,4.7,36549,4.5,1600,4.5,1600
bhg cube storage bins,12.0,1,10.0,4.7,36548,4.6,1060,4.2,44
bhg flip tite,22.0,1,4.0,4.3,419,4.8,28,4.6,30
bhg storage bins,4.0,2,19.0,4.7,36549,4.6,1060,4.7,699
bib,1.0,3,41.0,4.8,3593,4.7,3354,4.5,621
bibs,19.0,3,7.0,4.8,3573,4.6,1763,4.8,1207
big-tall,12.0,1,26.0,4.5,1834,4.6,20798,4.5,1460
bike rack for car,7.0,3,11.0,4.3,82,4.5,15549,4.4,607
biker shorts for women,,5,27.0,,,4.3,43821,3.9,72
binder,1.0,4,,4.7,13598,4.7,652,,
binder clips,5.0,6,7.0,4.8,5186,4.8,3517,4.7,352
binder dividers,1.0,5,,4.8,3049,4.8,8674,,
binders,1.0,3,,4.7,13598,4.7,1567,,
biotin,8.0,5,,4.6,11048,4.7,37013,,
bird feeder,42.0,2,,4.5,746,4.6,6366,,
birthday gifts for women,41.0,3,,4.7,3701,4.9,519020,,
bj masks toys,3.0,2,55.0,4.8,1922,4.8,522,4.7,157
bjj rash guard,8.0,5,21.0,4.7,114,4.5,470,4.3,14
bjj rash guards for men,57.0,5,15.0,4.7,114,4.6,1830,4.5,14
bk,13.0,1,7.0,4.6,147190,4.4,1211,,
bke jeans,1.0,3,23.0,4.3,4479,4.5,2160,4.2,599
bke jeans mens,27.0,1,13.0,4.4,1429,4.4,587,4.0,76
bkr water bottle,7.0,4,10.0,4.7,2991,4.6,849,4.2,107
bkys men clothes,35.0,1,1.0,4.8,16,4.6,2615,4.6,2615
black beans,6.0,3,5.0,4.7,4547,4.8,1007,4.6,7
black face mask,35.0,5,41.0,4.6,138,4.6,29903,4.2,229
black friday deals 2020,2.0,1,43.0,4.7,494175,4.6,9939,4.0,643
black mask,24.0,5,6.0,4.6,138,4.6,29903,,
black panther action figure,51.0,1,4.0,4.8,3911,4.7,3621,4.4,760
black pepper,12.0,5,,4.8,8125,4.8,1970,,
black rifle coffee,,2,,,,4.7,10966,,
blackout curtains,1.0,5,35.0,4.5,22898,4.7,54045,4.7,4072
blanket,23.0,5,45.0,4.3,617,4.6,71011,4.8,288
blankets,31.0,5,,4.3,617,4.7,4995,,
blaze and the monster machines,6.0,1,14.0,4.5,1263,4.6,475,4.9,1745
bling car accessories for women,14.0,2,,4.2,662,4.8,23964,,
blink camera system,6.0,3,,4.5,1793,4.5,21297,,
blouses & button-down shirts,2.0,3,40.0,3.9,399,3.9,1874,4.4,490
blow dryer,21.0,5,11.0,4.6,12710,4.7,9635,4.7,414
bmr1959,27.0,5,6.0,4.8,2637,4.8,1164,4.8,5495
bmr1959 barbie dolls,12.0,1,2.0,4.8,5099,4.8,1164,4.8,5495
bn link smart plug,34.0,5,38.0,4.7,253,4.3,5718,4.3,337
bnha funko pop,37.0,1,1.0,4.9,1180,4.8,93,4.8,93
board games,2.0,3,44.0,4.7,8473,4.8,17264,4.5,38
board games for adults,49.0,5,31.0,4.7,255,4.3,1654,4.5,38
body armor,38.0,5,8.0,4.4,1262,4.8,15388,4.8,28
body pillow,48.0,5,,4.6,3205,4.5,12050,,
body wash,29.0,5,,4.6,1555,4.8,4895,,
bone broth,47.0,5,6.0,4.7,3642,4.4,1411,4.4,1834
boogie wipes,29.0,4,12.0,4.6,1344,4.8,3924,4.9,294
bookshelf,1.0,3,9.0,4.5,1634,4.4,9497,4.5,285
bose bluetooth speaker,13.0,2,27.0,4.9,150,4.7,31668,4.5,88
bottled water,23.0,5,9.0,4.7,7100,4.8,15870,4.7,422
bouncer,46.0,1,,4.8,3089,4.7,11871,,
bounty,14.0,2,4.0,4.7,49844,4.9,38039,4.9,24524
bounty paper towel,14.0,1,3.0,4.7,49844,4.9,28534,4.9,24524
bounty paper towels,48.0,1,3.0,4.5,6159,4.9,38039,4.9,24524
bounty paper towels select-a-size,15.0,1,3.0,4.7,49845,4.9,28534,4.9,24524
box fan,24.0,2,5.0,4.6,10585,4.6,4819,4.6,163
box spring,1.0,3,,4.7,993,4.6,38549,,
boxers for men,1.0,3,4.0,4.4,276,4.7,17569,,
boxes,1.0,3,11.0,4.6,925,4.6,2073,4.5,1601
boy toys,1.0,3,,4.7,6594,4.8,41663,,
bpa free air fryer,1.0,3,7.0,4.5,950,4.7,51490,4.6,266
bpa free storage containers with lids,12.0,2,,4.5,13,4.6,8222,,
bpa free water bottle,1.0,3,4.0,4.7,19,4.9,36811,,
bq sauce,19.0,1,3.0,4.6,1404,4.7,449,4.8,399
bqeel android tv box,7.0,3,14.0,4.7,494159,3.6,43,4.2,540
bqeyz,,2,8.0,,,4.3,6,4.1,34
bralettes for women,1.0,4,5.0,4.0,776,4.5,30473,,
brandy melville,13.0,1,1.0,4.0,154,4.6,21810,4.6,21810
bras for women,1.0,3,,4.3,1638,4.1,23608,,
brazil nuts,28.0,5,35.0,4.9,14,4.7,6951,4.7,127
bread,1.0,3,34.0,4.6,3633,4.7,2696,4.5,201
bread flour,5.0,4,8.0,4.6,530,4.7,4,4.0,113
breads & bakery,1.0,2,4.0,4.6,3633,4.3,1143,4.0,64
breakfast cereals,13.0,1,46.0,4.5,23,4.7,5855,4.3,50
brita filters,,5,10.0,,,4.8,44446,4.7,96
britax car seat,5.0,6,15.0,4.8,2189,4.8,1895,5.0,6
broom,5.0,6,22.0,4.5,3371,4.2,10739,4.5,388
brown rice,2.0,3,15.0,4.7,298,4.6,1045,4.7,300
brown sugar,5.0,2,26.0,4.8,2808,4.9,1786,4.7,221
bts,14.0,2,36.0,4.7,4962,4.7,562,4.2,221
btween,20.0,1,4.0,4.7,1543,4.0,1,3.6,9
bubble bath,1.0,3,26.0,4.1,4135,4.8,22991,4.6,520
bubble mailers,46.0,2,42.0,4.7,180,4.8,1981,4.7,143
bubble wrap,13.0,5,10.0,4.8,1130,4.8,14127,4.7,3083
buffalo bills,26.0,2,12.0,4.6,15213,4.2,363,4.9,48
buffalo plaid christmas decorations,44.0,1,30.0,4.4,396,4.6,361,,
buffer polisher,46.0,5,,4.5,465,4.8,3414,,
bullet journals,1.0,5,,4.5,105,4.8,2357,,
bulletin board,9.0,2,20.0,4.6,595,4.7,5612,4.3,1970
bunch o balloons,16.0,5,28.0,4.7,569,4.8,7011,4.8,182
burp cloths baby boy,30.0,2,,4.7,845,4.6,39,,
burrito blanket,20.0,5,26.0,4.9,13,4.8,24278,4.4,75
business card holder,33.0,2,5.0,4.8,122,4.7,3994,4.9,740
butter,2.0,1,41.0,4.7,4832,3.8,1759,4.6,60
butterfly necklace,28.0,2,34.0,4.3,1236,4.0,236,,
bv treatment for women,34.0,5,36.0,4.6,5023,4.6,24304,2.4,2
bwt,33.0,2,4.0,4.7,1225,4.8,2265,4.6,350
bwt water filter,24.0,1,2.0,4.8,1387,4.8,2265,4.6,350
bx1500m,15.0,3,,4.4,4065,4.7,4318,,
bycicle 12',,2,5.0,,,4.4,3734,4.6,152
byd care,24.0,4,8.0,4.3,4944,4.6,341,4.5,587
byd face mask,19.0,5,6.0,4.4,30038,4.6,341,4.5,587
bypass barn door hardware,1.0,5,25.0,4.2,5,4.7,49,4.6,143
bzees shoes,,2,32.0,,,4.3,41,3.7,293
bzees shoes for women,,2,26.0,,,4.6,1096,3.7,293
cake mix,41.0,5,26.0,4.7,2032,4.5,63,4.7,147
call of duty cold war,5.0,1,6.0,3.3,26,4.0,13,4.4,44
calligraphy pens,8.0,5,53.0,4.5,3265,4.6,176,4.3,568
campbells soup,38.0,1,7.0,4.2,221,4.6,4584,4.6,86
camper accessories,14.0,2,,4.4,12805,4.7,370,,
candles,30.0,5,,4.4,25,4.8,17511,,
candy,26.0,2,45.0,4.5,463,4.8,21837,4.5,67
candy & chocolate gifts,37.0,2,19.0,4.6,6564,4.6,87,4.8,1183
canned chicken,17.0,1,3.0,4.7,1699,4.8,420,4.6,653
canned food,23.0,4,,4.7,3431,4.7,2836,,
canned fruit,1.0,4,39.0,4.5,511,4.7,2746,4.0,14
canned pumpkin,2.0,3,31.0,4.7,1393,4.6,437,4.5,18
canned soup,29.0,1,7.0,4.3,1073,4.4,590,4.8,1092
canned tomatoes,18.0,5,14.0,4.7,473,4.7,2036,4.6,97
canned vegetables,20.0,2,2.0,4.7,1110,4.6,331,4.6,331
car accessories,45.0,1,,4.5,36886,4.1,90477,,
car air freshener,44.0,5,9.0,4.0,639,4.1,10704,4.6,4124
car battery charger,55.0,5,,4.4,1980,4.6,9710,,
car battery jump starter,7.0,3,,4.4,1980,4.7,26748,,
car covers,25.0,5,8.0,4.5,1641,4.3,6499,4.5,966
car floor mats,10.0,2,17.0,4.2,6617,4.3,39313,4.3,2750
car mats,15.0,2,13.0,4.5,2791,4.3,39313,4.3,2750
car organizers and storage,1.0,5,16.0,4.7,121,4.7,24459,4.5,44
car seat,,5,53.0,,,4.9,37271,4.9,1929
car seats,13.0,5,6.0,4.8,2189,4.9,37271,,
car sun shade for windshield,1.0,3,55.0,4.1,418,4.4,45504,4.4,1139
car toy,38.0,5,,4.4,214,4.6,33507,,
car window shade,36.0,5,,4.0,999,4.1,4175,,
card games,1.0,3,5.0,4.9,519020,4.8,89564,4.8,16611
card stock,14.0,2,22.0,4.7,36549,4.7,4189,4.8,7
cardigan sweaters for women,1.0,6,13.0,4.5,2756,,,4.5,5694
cardigans for women,24.0,5,35.0,4.5,2973,4.5,14745,4.4,223
cardstock,14.0,2,20.0,4.7,36549,4.7,4189,4.8,7
carpet chair mats,10.0,5,24.0,4.6,1418,4.5,6389,4.3,109
carry on luggage,9.0,2,34.0,4.7,20769,4.7,4139,4.6,652
carry on luggage 22x14x9,1.0,3,19.0,4.5,2838,4.5,27441,4.6,572
cars movie toys,23.0,1,5.0,4.7,684,4.8,4624,5.0,1
carseat,,5,53.0,,,4.9,37271,4.9,1929
carters baby boy,1.0,5,,4.7,15400,4.8,392,,
carters baby girl,1.0,9,44.0,4.8,29404,4.8,7254,4.8,38
cash envelopes,33.0,2,9.0,4.7,7942,4.2,2013,4.6,40
cashews,1.0,4,28.0,4.6,4175,4.8,16370,4.6,91
castor oil,13.0,5,15.0,4.6,780,4.5,36802,4.7,22
casual dresses for women,25.0,2,,4.4,2975,4.3,2084,,
cat food,17.0,5,,4.4,329,4.8,13172,,
cat toys,30.0,5,,4.4,214,4.6,20310,,
cat tree,1.0,3,3.0,4.4,1658,4.3,2097,4.3,2097
cbdmd oil,20.0,5,24.0,4.2,1254,4.3,4792,4.3,484
cbdmd oil for pain relief and inflammation,56.0,5,20.0,4.2,1254,4.3,4790,4.1,1682
cctv,14.0,2,5.0,4.5,68032,4.5,1567,4.4,1799
cctv camera,1.0,3,11.0,4.5,68032,4.3,252,4.3,898
cctv security system,1.0,3,5.0,4.4,12805,4.2,3685,4.3,426
cd case,15.0,3,14.0,4.7,22560,4.7,9900,4.7,37
cd holder,7.0,3,9.0,4.7,22561,4.6,3507,4.7,37
cd player,1.0,3,,4.2,124,4.6,2522,,
cd storage,9.0,3,,4.7,22561,4.5,6957,,
ceiling light,26.0,2,39.0,4.3,67,4.7,3016,4.7,109
ceiling light fixture,10.0,2,2.0,4.3,67,4.8,677,4.8,677
cerave cleanser,13.0,1,8.0,4.3,3040,4.7,34642,4.8,394
cereal,1.0,5,36.0,4.2,1010,4.8,14069,3.5,3
cetaphil face wash,32.0,3,11.0,4.4,69,4.8,14808,4.3,21
cfl light bulb,20.0,5,31.0,4.5,566,4.6,1210,4.4,145
cfl light bulbs,39.0,5,22.0,4.6,3303,4.6,1210,4.8,28
cgh,47.0,1,13.0,4.4,974,4.4,260,5.0,2
cgi outdoor rocking chair,34.0,2,8.0,4.5,2648,4.8,11413,4.8,186
cgk unlimited sheets,20.0,5,,4.6,185465,4.6,73813,,
chair,1.0,3,5.0,4.5,107,4.3,1920,4.6,2278
chair mat,20.0,5,41.0,4.4,3177,4.3,2620,4.4,4906
chair mats,9.0,5,44.0,4.2,6616,4.1,25318,4.4,4906
chair mats for carpeted floors,12.0,5,41.0,4.6,1418,4.5,6388,4.4,4906
chamomile tea,17.0,5,9.0,4.6,410,4.7,1035,4.6,29015
champion hoodie,16.0,4,18.0,4.6,11689,4.7,24245,4.7,1553
chapstick,52.0,5,26.0,4.5,86,4.8,12004,4.8,1440
charger for iphone,1.0,3,,4.9,51,4.6,16347,,
cheese,1.0,3,46.0,4.7,3356,4.3,48,4.4,52
chevy silverado accessories,14.0,2,18.0,4.2,662,4.7,5728,4.8,392
chia seeds,6.0,5,49.0,4.8,1206,4.8,42596,5.0,5
chia seeds organic,6.0,5,52.0,4.8,1206,4.8,42596,5.0,5
chicken,1.0,4,26.0,4.7,3082,4.5,3476,4.6,243
chicken noodle soup,3.0,4,11.0,4.3,1073,4.6,4584,4.8,1092
chips,14.0,5,36.0,4.5,378,4.7,44101,4.8,181
chips & crisps,24.0,2,37.0,4.5,2387,4.7,44101,4.7,209
chocolate candy,37.0,2,46.0,4.4,87,4.6,3287,4.8,1183
chocolate chips,8.0,2,21.0,4.7,2562,4.5,295,4.5,6705
christmas,13.0,1,,4.8,65152,3.7,19,,
christmas lights,1.0,3,45.0,4.5,492,4.6,1282,3.7,36
christmas pajamas,33.0,1,6.0,4.8,4317,4.5,266,3.8,16
christmas stockings,14.0,2,,4.3,328,4.7,45,,
christmas wrapping paper,14.0,2,,4.8,2396,4.6,3620,,
chromecast,16.0,3,,4.7,494178,4.6,38915,,
cinnamon,30.0,5,31.0,4.3,20,4.5,4202,4.5,73
cinnamon powder,30.0,5,7.0,4.8,1091,4.5,4202,4.7,4176
cinnamon stick,1.0,5,19.0,4.9,8,4.8,8737,4.5,68
cinnamon sticks,5.0,6,17.0,4.8,583,4.8,8737,4.5,718
cinnamon toast crunch,13.0,2,4.0,4.1,691,4.8,2318,4.8,432
circuit machine,29.0,1,5.0,4.3,297,4.8,15313,4.8,2780
citric acid,40.0,5,12.0,4.8,403,4.8,13172,4.8,322
ck,44.0,5,50.0,4.5,5876,5.0,1,4.5,41
ck jackets for men,44.0,5,20.0,4.5,6785,4.5,499,3.0,3
ck underwear for men,17.0,5,27.0,4.5,6941,4.3,4055,4.5,48
ck underwear women,47.0,5,8.0,4.6,47617,4.2,5987,4.6,625
cleaning supplies,24.0,5,46.0,4.5,59,4.7,15785,4.8,85
clear face mask,1.0,5,5.0,4.1,8643,3.7,1071,3.7,1071
clearance items,19.0,2,3.0,4.7,57468,3.9,44665,4.3,6
clearance under $5.00,3.0,1,2.0,4.7,11,4.0,11,3.3,7
clipboard,1.0,6,36.0,4.7,1108,4.8,1397,4.5,78
clipboard with storage,8.0,5,20.0,4.4,2385,4.6,9803,4.5,78
clorox disinfecting wipes,20.0,2,5.0,4.7,6485,4.9,48132,4.5,82
clorox wipes,38.0,2,4.0,4.7,6484,4.9,48132,4.5,82
closet organizer,41.0,1,50.0,4.6,7539,4.2,1654,4.5,615
closet organizers and storage,16.0,1,7.0,4.6,7539,4.1,2058,4.5,862
cloth face mask,1.0,5,54.0,4.4,17,4.8,1185,4.2,127
cloth face mask washable,1.0,5,,4.1,8643,4.8,1187,,
clothes,25.0,1,19.0,4.6,20073,4.6,14761,4.6,1084
clothes rack,53.0,2,32.0,4.6,1693,4.5,1265,5.0,4
clothing,3.0,1,,4.5,2937,4.8,5973,,
clue board game,5.0,2,16.0,4.8,1657,4.9,3976,4.8,16
cmos battery,1.0,3,13.0,4.7,45118,4.5,179,4.8,76155
cna gifts,14.0,2,24.0,4.7,1613,4.6,31,4.6,315
cna gifts for women,16.0,1,45.0,4.6,12840,4.7,108,4.7,3231
cocoa powder,9.0,5,25.0,4.7,2169,4.7,6903,4.8,1165
coconut milk,5.0,3,6.0,4.7,5256,4.6,2060,4.5,1342
coconut oil,1.0,5,49.0,4.7,4087,4.8,28929,4.6,45
codenames,18.0,2,20.0,4.7,308,4.7,241,5.0,1
coffee,1.0,3,,4.3,3139,4.7,1680,,
coffee beans,5.0,6,,4.4,4900,4.6,3619,,
coffee beverages,11.0,2,,4.4,20357,4.8,28158,,
coffee creamer,27.0,5,6.0,4.4,2067,4.7,3998,4.8,2614
coffee k cups,1.0,5,58.0,4.4,17246,4.8,28158,4.0,950
coffee maker,10.0,2,21.0,4.4,7488,4.5,22304,4.6,29372
coffee makers,11.0,2,24.0,4.4,7488,4.5,22304,4.6,29372
coffee pods,10.0,5,,4.5,30504,4.8,33150,,
coffee table,,1,2.0,,,4.5,2331,4.5,2341
college ruled notebooks,1.0,3,44.0,4.7,9978,4.8,2340,4.8,362
colored pencils,1.0,5,,4.7,4962,4.8,6581,,
colored pens,49.0,2,,4.7,4542,4.7,40234,,
comforter sets,17.0,2,,4.6,30035,4.5,4788,,
comforters for queen bed,1.0,5,,4.7,3455,4.6,6651,,
composition notebook,1.0,3,45.0,4.8,6809,4.8,528,,
computer chair,1.0,5,7.0,4.4,7229,4.1,2877,4.4,288
computer desk,51.0,5,23.0,4.8,65,4.5,9941,4.6,64
computer monitor,,2,,,,4.7,6600,,
computer monitors,,2,,,,4.7,6600,,
computer paper,3.0,2,12.0,4.8,37982,4.8,74669,4.6,22
connect 4,1.0,5,16.0,4.7,308,4.8,34808,5.0,2
convertible car seat,25.0,4,32.0,4.8,2189,4.9,37271,4.4,35
cookies,5.0,1,,4.7,2032,4.7,12365,,
copy paper,1.0,6,6.0,4.8,37982,4.7,742,4.7,742
copy paper 10 ream case,1.0,4,7.0,4.8,37982,4.8,20591,4.7,742
copy paper 8.5x11,1.0,5,14.0,4.8,37982,4.8,20591,4.7,742
cork board,26.0,2,50.0,4.4,44,4.7,5612,4.3,1970
cork board bulletin board,22.0,2,54.0,4.6,595,4.6,1733,3.6,57
correction tape,14.0,2,7.0,4.3,319,4.8,2807,4.5,139
cotton balls,5.0,6,14.0,4.8,13529,4.3,3142,4.5,395
cotton rounds,8.0,5,13.0,4.4,1098,4.7,15206,4.7,7623
cottonelle toilet paper,33.0,2,6.0,4.7,61477,4.8,38583,4.3,951
couch,7.0,2,4.0,3.6,303,5.0,1,4.1,4389
cpap,7.0,2,24.0,4.5,13501,4.8,7427,4.7,1529
cpap cleaner,26.0,5,20.0,4.5,13501,4.1,181,4.8,9
cpap cleaner and sanitizer,15.0,5,27.0,4.5,13501,4.7,9569,4.8,9
cpap cleaner and sanitizing machine,35.0,5,10.0,4.5,13501,4.8,659,4.8,9
cpap machine,1.0,2,7.0,4.5,9,4.1,181,4.0,2
cpap mask,8.0,3,4.0,4.5,13501,4.1,102,,
cpap supplies,23.0,5,13.0,4.5,13501,4.8,6845,4.7,2062
cpap wipes,6.0,5,40.0,4.5,13501,4.7,9569,4.6,309
cq acrylic,13.0,1,,4.5,1937,4.8,1305,,
crackers,8.0,5,27.0,4.5,3006,4.8,4455,4.7,105
cranberry juice,6.0,3,3.0,4.7,1013,4.7,68,4.7,68
crayola,4.0,2,,4.7,690,4.8,8821,,
crayons,9.0,3,24.0,4.7,690,4.9,2162,4.0,5
creamer,24.0,5,10.0,4.8,3219,4.5,6099,4.8,2614
crib mattress,25.0,5,40.0,4.7,621,4.8,22246,4.8,2511
crib sheets,52.0,5,30.0,4.9,2680,4.6,50,4.7,665
crocs mens shoes,14.0,2,,4.3,353,4.8,140111,,
cry babies,5.0,1,30.0,4.7,1571,4.8,95,4.7,380
csgo,48.0,1,13.0,4.7,714,4.8,8,4.2,38
cube organizer,37.0,2,2.0,4.7,36549,4.4,23390,4.4,23390
cube storage bins,1.0,3,53.0,4.7,36549,4.7,8303,4.4,23390
curly hair products,14.0,2,26.0,4.6,539,4.3,11622,4.8,20
curtain lights,6.0,5,39.0,4.3,3186,4.6,44407,4.1,39
curtain rod,6.0,1,,4.7,20863,4.6,6702,,
curtain rods,1.0,3,,4.7,26140,4.6,6701,,
curtains,22.0,2,49.0,4.5,22898,4.7,54045,4.8,13
cvs,1.0,2,5.0,4.8,2980,4.8,6,4.2,36
cvs gift card,1.0,2,,4.9,519022,4.8,402,,
cvt transmission fluid,46.0,3,6.0,4.7,6,4.6,322,4.8,259
cyber deals,1.0,3,31.0,4.6,135764,4.3,16350,3.9,2914
cyber deals 2020,5.0,1,2.0,4.4,146465,3.8,18,3.9,40
cyber monday 2020,33.0,1,17.0,4.8,9821,4.6,1907,4.7,165
cyber monday ads,10.0,1,11.0,4.6,89941,4.0,3188,4.6,23564
cyber monday deals 2020,4.0,2,43.0,4.6,142841,4.4,6880,4.8,4728
cyber monday deals 2020 electronics,1.0,2,18.0,4.6,142835,4.2,8062,4.4,6880
cyber monday deals 2020 kids,2.0,1,,4.6,135768,4.7,94,,
cyber monday toys,8.0,1,14.0,4.9,11368,3.7,887,4.6,841
cyberpunk,6.0,2,,4.3,730,3.6,8556,,
cz stud earrings,1.0,5,12.0,4.5,10962,4.5,931,3.8,13
cz499r,13.0,2,2.0,4.6,1480,3.3,55,3.3,55
dad christmas gifts,14.0,2,,4.8,1015,4.5,8165,,
dad gifts from daughter,14.0,2,37.0,4.2,36,4.8,728,4.7,2174
daily planner 2020,22.0,2,33.0,4.2,2567,4.7,22254,4.7,44
dandruff shampoo,13.0,5,,4.5,2656,4.5,34547,,
dark chocolate,13.0,5,22.0,4.4,1181,4.6,157,4.2,619
dart board,13.0,3,37.0,5.0,9,4.6,6309,4.5,118
dates,12.0,5,25.0,4.5,3649,4.4,2266,4.7,865
dbz,6.0,1,4.0,4.8,1762,4.7,6871,4.6,569
dbz action figures,11.0,2,3.0,4.8,704,4.4,1629,3.6,46
dbz funko,32.0,1,9.0,4.9,3975,4.8,194,4.9,269
dbz funko pop,30.0,1,4.0,4.9,3975,4.6,123,4.8,1759
dbz toys,44.0,1,9.0,4.9,3975,4.8,165,4.7,102
dc action figures,26.0,1,25.0,4.8,1909,4.7,990,4.5,85
dc multiverse action figures,29.0,1,12.0,4.9,2595,4.7,734,4.8,620
deals of the day,7.0,2,54.0,4.5,4819,3.9,44665,4.8,3108
decaf k cups,1.0,5,56.0,4.6,1175,4.5,47940,4.7,512
decorative pillows,40.0,2,36.0,4.4,674,4.7,22765,4.2,8832
dental floss,1.0,5,29.0,4.5,3448,4.8,6940,4.7,1300
desk,46.0,5,8.0,4.5,2682,4.7,14126,4.7,612
desk accessories,20.0,1,,4.7,1587,4.7,14061,,
desk accessories & workspace organizers,7.0,1,6.0,4.7,1587,4.7,14060,4.8,9319
desk chair,6.0,2,4.0,4.4,16134,4.1,2877,4.3,12108
desk drawer organizer,1.0,3,4.0,4.8,378,4.7,537,4.5,407
desk lamp,15.0,5,,4.7,700,4.8,29362,,
desk mat,39.0,5,,4.4,3177,4.7,14061,,
desk organizer,4.0,2,,4.7,1587,4.7,15503,,
desk organizers and accessories,2.0,3,55.0,4.7,1587,4.7,15503,4.3,2745
desk pad,22.0,5,40.0,4.7,1045,4.7,22623,4.6,863
desk with drawers,19.0,2,4.0,4.4,1913,4.3,235,4.4,634
desks,44.0,5,21.0,4.5,2682,4.7,14127,4.6,2952
dfackto knives,5.0,2,24.0,4.8,10965,4.7,259,4.7,273
dg hill,40.0,3,12.0,4.5,758,4.7,9402,3.5,37
dgl,8.0,5,13.0,4.4,146,4.5,2079,4.7,37
dgl licorice,21.0,5,22.0,4.4,146,4.4,1268,4.4,63
dgl licorice chewable,16.0,5,8.0,4.4,146,4.5,2079,4.4,198
diaper,15.0,5,,4.3,18361,4.8,61364,,
diaper bags,52.0,2,,4.8,163,4.8,13888,,
diaper genie,12.0,2,6.0,4.7,17965,4.6,8234,4.3,1376
diaper genie refill,1.0,4,9.0,4.7,17965,4.8,22388,4.8,422
diaper pail,22.0,2,41.0,4.7,17965,4.6,8234,4.6,710
diapers,1.0,5,,4.3,18362,4.9,23945,,
digital photo frame,1.0,3,,4.7,60,4.8,8541,,
digital thermometer,31.0,5,46.0,4.4,10144,4.4,14221,4.6,7
dishwasher detergent,14.0,5,7.0,4.5,8558,4.7,1259,4.8,55815
dishwasher pods,1.0,5,5.0,4.5,8558,4.8,55815,4.8,55815
disinfect wipes,10.0,3,20.0,4.8,12419,4.9,48133,4.5,82
disinfectant,,5,19.0,,,4.9,48133,4.4,29
disinfectant wipes,7.0,5,12.0,4.8,12419,4.9,48133,4.5,82
disinfecting wipes,5.0,6,10.0,4.8,12419,4.9,48133,4.5,82
disney 65th funko pop,14.0,1,11.0,4.9,1838,4.9,223,4.8,8
disney puzzle,5.0,2,,,,4.6,247,,
displayport cable,11.0,3,,4.7,13283,4.7,3107,,
disposable diapers,26.0,5,53.0,4.5,13683,4.6,7643,4.3,5
disposable face mask,1.0,5,6.0,4.6,455,4.9,43,,
disposable face masks,1.0,5,,4.6,455,4.7,20636,,
disposable gloves,1.0,5,11.0,4.5,330,4.5,4918,4.2,672
dividers for 3 ring binder,2.0,1,,4.8,3049,4.8,8674,,
dl2032,1.0,5,5.0,4.7,45118,4.5,389,4.5,389
dl2032 battery,1.0,5,8.0,4.7,45118,4.7,332,4.8,76155
dlink camera,2.0,1,16.0,4.5,68030,4.5,21296,4.5,118
dmc,38.0,2,3.0,4.6,963,4.8,357,4.6,131
dmx controller,1.0,5,19.0,4.7,25,4.2,771,4.2,182
dog,1.0,3,52.0,4.6,2101,4.8,6622,4.3,92
dog bed,1.0,5,13.0,4.4,7902,4.5,40834,4.5,7130
dog collar,28.0,3,,4.6,13,4.7,4009,,
dog food,1.0,5,,4.5,519,4.7,11371,,
dog treats,8.0,1,46.0,4.8,367,4.8,29063,4.9,136
doll house,10.0,2,,4.6,573,4.1,87,,
dollhouse,26.0,2,,4.6,573,4.8,14544,,
dolls,7.0,2,45.0,4.6,1763,4.8,8030,4.6,28
dolls & accessories,9.0,1,,4.7,672,4.3,245,,
dominoes,1.0,5,,4.4,47,4.3,1961,,
dominoes set,1.0,4,55.0,4.4,47,4.3,1961,4.4,41
doritos,39.0,4,8.0,4.3,935,4.7,10696,4.8,14
dots pretzels,34.0,5,6.0,4.6,7425,4.9,2109,4.9,884
double sided tape,9.0,5,,4.1,2331,4.4,20899,,
dp cable,15.0,3,,4.7,13282,4.7,3107,,
dp to dvi,5.0,3,,4.6,4382,4.6,7605,,
dp to hdmi cable,8.0,3,,4.6,18694,4.6,32574,,
dq gift card,1.0,2,,4.9,519020,4.8,2680,,
dq home decor,22.0,1,1.0,4.6,4682,4.5,167,4.5,167
dqqh,25.0,1,13.0,4.5,1433,4.5,464,4.7,85
dr brown bottle,13.0,1,33.0,4.1,206,4.8,9445,4.7,568
dr squatch soap,12.0,5,5.0,4.4,3307,4.3,26229,4.3,26229
dress,4.0,1,7.0,4.2,2258,4.0,3068,3.9,4050
dresses,25.0,1,2.0,4.2,741,4.4,8308,3.9,3443
dresses for women,7.0,1,2.0,4.2,741,4.4,8308,,
dresses for women casual fall,9.0,2,2.0,4.3,391,4.0,1004,4.0,1004
dried beans,2.0,4,17.0,4.9,19,4.8,1007,4.7,39
