search_term,position_first_amazon,position_first_non_amazon,position_first_wholly_non_amazon,amazon_stars,amazon_reviews,non_amazon_stars,non_amazon_reviews,wnon_amazon_stars,wnon_amazon_reviews
55 inch tv,5.0,3,,4.7,1609,4.6,1314,,
5w30 synthetic motor oil,1.0,5,26.0,4.8,8392,4.8,11833,4.8,425
5x7 picture frames,1.0,5,,4.7,2183,4.7,10142,,
6 months baby toys,22.0,2,6.0,4.8,594,4.6,5134,4.4,4263
6 year old girl gifts,29.0,5,,4.6,14602,4.5,4467,,
60 inch tv,4.0,3,5.0,4.6,8570,4.7,18975,4.6,2035
60% keyboard,3.0,4,14.0,4.6,4784,4.5,631,4.6,2055
60% mechanical keyboard,3.0,4,,4.6,4784,4.5,631,,
"644038688 equate hand sanitizer w vitamin e, 60 floz",7.0,1,1.0,4.6,13550,5.0,4,5.0,4
65 inch smart tv,1.0,3,9.0,4.6,8569,4.6,1314,4.6,38559
7 year old boy gifts,1.0,5,,4.6,135768,4.8,13419,,
7 year old girl gifts,1.0,5,,4.6,135769,4.5,4467,,
70 inch smart tv,1.0,3,5.0,4.6,8570,4.5,658,4.0,16
70 inch tv,4.0,3,6.0,4.6,8569,4.5,658,4.0,16
75 inch smart tv,1.0,3,16.0,4.6,8570,4.3,1015,,
8 gallon trash bags,50.0,5,,4.7,57468,4.6,1681,,
8 year old boy gift,17.0,5,,4.8,14249,4.3,252,,
8 year old girl gifts,22.0,5,,4.8,15818,4.5,4467,,
80 inch smart tv,1.0,3,10.0,4.7,27936,4.7,18975,4.0,4
85 inch tv,1.0,3,5.0,4.7,10897,4.6,361,4.6,1557
8x10 picture frame,1.0,5,36.0,4.7,2134,4.6,4508,4.7,2799
9 lives dry cat food,18.0,2,4.0,4.4,329,4.8,366,4.7,5
9 volt batteries,1.0,6,14.0,4.7,82768,4.8,11653,4.6,757
9 year old boy gifts,17.0,5,,4.2,36,4.3,4780,,
9 year old girl gifts,15.0,3,,4.7,6594,4.8,5958,,
90 degree by reflex,38.0,5,8.0,4.5,3478,4.4,20219,4.5,6885
90 degrees leggings for women,56.0,5,6.0,4.5,987,4.4,20219,4.4,13456
90s clothing for women,13.0,2,28.0,4.1,875,4.6,354,3.8,35
9v battery,1.0,6,23.0,4.7,809,4.8,38424,4.6,757
aa batteries,1.0,6,27.0,4.7,235952,4.8,67534,4.5,1995
aa batteries 100 pack,1.0,2,,4.7,235952,4.7,15467,,
aa batteries 12 pack,1.0,5,11.0,4.7,235952,4.7,7740,4.7,727
aa batteries 24 pack,1.0,6,18.0,4.6,147190,4.8,38000,4.5,1996
aa batteries value pack,1.0,4,11.0,4.7,235952,4.8,38000,4.7,450
aa lithium batteries,13.0,5,8.0,4.8,154,4.8,18857,4.7,2415
aa rechargeable batteries,1.0,7,,4.6,147188,4.6,17543,,
aaa batteries,5.0,6,30.0,4.7,229112,4.8,54672,4.8,1832
aaa batteries 24 pack,1.0,6,26.0,4.7,229113,4.8,54672,4.7,169
aaa batteries value pack,3.0,4,18.0,4.7,229113,4.3,29,4.8,479
aaa rechargeable batteries,1.0,5,,4.6,147189,4.7,12736,,
aaaa batteries,1.0,6,11.0,4.6,23249,4.8,5722,4.8,2734
abreva,31.0,3,7.0,4.6,1546,4.8,6405,4.7,1129
abrigos de mujer,1.0,2,2.0,4.6,12840,4.4,1473,4.4,1473
abstract wall art,18.0,1,2.0,4.6,161,4.7,344,,
accordian file organizer,5.0,6,,4.7,24095,4.6,1046,,
acetaminophen,1.0,7,10.0,4.8,19412,4.8,1209,4.8,2173
acoustic guitar,1.0,5,22.0,4.4,500,4.7,1296,4.6,1411
acrylic nail kit complete set,23.0,5,27.0,4.7,914,3.9,3014,4.1,811
acrylic paint set,42.0,5,15.0,4.5,73,4.8,22107,4.4,315
action figures,6.0,1,4.0,,,4.6,1625,4.8,1284
action figures for boys,10.0,2,,4.7,551,4.6,1625,,
activity center,12.0,2,18.0,4.5,5,4.8,4561,4.7,349
address labels,23.0,1,,4.6,238,4.8,1201,,
adidas shoes women,13.0,1,8.0,4.5,2058,4.7,39227,4.5,4730
adjustable dumbbells,22.0,5,12.0,4.7,3694,4.7,10137,4.5,69
adult diapers,1.0,5,31.0,4.3,4108,4.5,590,4.3,472
advent calendar 2020 kids,13.0,1,,4.6,135769,4.7,404,,
adventure force,28.0,1,4.0,4.5,5158,4.1,22,4.5,96
advil,40.0,5,30.0,4.8,26199,4.9,4135,4.8,431
advil liqui-gels,32.0,3,8.0,4.8,293,4.9,8361,4.9,258
advil pm,26.0,5,10.0,4.7,2582,4.8,4832,4.7,3
aerobic step,1.0,3,20.0,4.0,2398,4.6,3367,4.9,10
aerobic stepper,6.0,2,17.0,4.0,2398,4.6,3367,4.9,10
aew unrivaled,18.0,1,7.0,4.9,2432,,,4.5,58
african american baby doll,37.0,1,32.0,4.7,302,4.8,4982,4.5,1927
african american christmas cards,14.0,2,3.0,4.8,525,4.8,772,4.8,956
african american dolls,7.0,1,25.0,4.8,325,4.7,2388,4.7,9
afrin nasal spray,23.0,2,4.0,4.6,2300,4.8,144,4.7,381
after shave,1.0,5,23.0,4.2,79,4.7,4923,4.6,3860
ag13 battery,8.0,5,11.0,4.7,8270,4.6,11627,4.7,5421
agar agar powder,52.0,5,13.0,4.7,4704,4.5,3666,4.7,559
agave,6.0,5,10.0,4.8,1436,4.6,55,4.8,1146
agave nectar,13.0,5,22.0,4.8,1436,4.7,4315,4.7,20
aggravation board game,51.0,2,5.0,4.7,17,4.8,3386,4.8,197
aggressive chew toys for large dogs,1.0,5,21.0,4.5,614,4.5,468,4.3,5662
aha,16.0,5,5.0,4.6,2107,4.5,52,4.5,52
aha sparkling water,38.0,3,3.0,4.6,2107,4.5,52,4.5,52
ahmad tea,38.0,1,13.0,4.6,914,4.7,1051,4.6,445
ahsoka tano black series,25.0,1,2.0,4.7,551,4.8,99,4.9,601
ahsoka tano funko pop,19.0,1,1.0,4.9,1180,4.7,135,4.7,135
air compressor,36.0,2,25.0,4.3,16,4.8,7253,4.3,112
air fryers best seller prime,1.0,3,,4.5,950,4.7,51490,,
air mattress with built,11.0,3,10.0,4.4,4191,4.5,55869,4.2,2908
airpod case,10.0,3,,4.7,220,4.4,80,,
airpods 2nd generation,7.0,3,5.0,4.0,19163,4.8,310556,4.5,4015
airpods case,10.0,3,,4.7,220,4.4,80,,
airpods pro case cover,1.0,3,,4.7,220,4.8,4184,,
airsoft guns,13.0,1,10.0,4.5,72,4.0,400,3.9,1056
aj styles action figures,44.0,1,6.0,4.6,4085,4.8,400,4.8,236
alarm clock,1.0,5,,4.8,22085,4.7,26185,,
alarm clock for bedroom,1.0,5,,4.8,22094,4.6,7051,,
alcohol,6.0,5,8.0,4.8,1712,3.9,23,4.7,421
alcohol 70%,1.0,5,7.0,4.8,1712,4.7,16228,4.6,1603
aleve,3.0,2,2.0,4.8,12043,4.8,467,4.8,467
alexa,2.0,1,,4.7,969091,4.0,601,,
alexa devices,1.0,3,,4.7,21142,4.5,26752,,
alexa dot,2.0,1,14.0,4.7,969100,4.5,204083,,
alexa echo,1.0,3,,4.7,97402,4.7,139466,,
alexa show,3.0,1,,4.6,275631,4.6,17343,,
alexa smart plugs,5.0,6,50.0,4.7,310442,4.3,58336,4.0,276
alexa speaker,1.0,9,,4.7,97405,4.7,13594,,
all laundry detergent,43.0,5,9.0,4.6,61,4.7,8949,4.8,505
all purpose flour,4.0,3,13.0,4.8,2729,4.8,1598,4.5,344
almond butter,2.0,1,26.0,4.1,1511,4.5,6573,4.4,89
almond flour,9.0,5,,4.7,1066,4.8,17876,,
almond milk,13.0,5,37.0,4.7,3638,4.8,6753,4.5,15
almonds,1.0,5,,4.6,5840,4.8,18893,,
aloe vera gel,26.0,5,12.0,4.5,510,4.5,37240,4.6,452
aluminum foil,5.0,6,6.0,4.7,4401,4.8,130,4.8,130
amazon device memory cards,3.0,2,,4.6,135765,4.6,40733,,
amazon essentials womens clothing,1.0,49,,4.4,17200,4.2,14022,,
amazon fire stick,1.0,7,,4.8,77686,4.6,142841,,
amazon fire tablets,2.0,1,,4.6,66243,3.9,44666,,
amazon fresh groceries delivery,1.0,2,,4.8,6888,,,,
amazon gift card,1.0,2,,4.9,519017,4.8,65152,,
amazon gift cards,3.0,1,,4.9,519022,3.9,44665,,
amazon pantry items,48.0,2,,4.7,11226,4.9,519020,,
amazon prime login my account,45.0,1,5.0,4.5,34,3.9,22,3.9,38
amazonbasics,1.0,21,,4.7,6737,4.7,12574,,
american flag,58.0,5,9.0,4.7,234,4.5,26929,4.8,916
american girl doll,5.0,1,2.0,4.8,674,4.7,206,4.8,305
american girl doll accessories,21.0,2,,4.7,353,4.3,245,,
android tablet,1.0,3,,4.6,142842,4.6,1815,,
angel soft,24.0,2,5.0,4.5,54182,4.7,11299,4.6,1159
angel soft toilet paper,34.0,2,8.0,4.7,61477,4.7,11299,4.7,64
animal crackers,4.0,3,3.0,4.7,515,4.3,300,4.3,300
anime,13.0,1,9.0,4.6,1624,4.7,950,4.5,23
annies macaroni and cheese,31.0,1,18.0,4.4,400,4.7,3442,4.7,111
antacid,12.0,5,7.0,4.6,4137,4.8,7560,4.8,960
antenna,8.0,3,,4.2,970,4.3,26128,,
antibacterial hand soap,9.0,5,11.0,4.4,6248,4.8,9500,4.7,404
antibacterial wipes,13.0,5,16.0,4.8,12419,4.9,48132,4.6,65
apple,12.0,5,40.0,,,4.8,137644,4.7,9
apple chargers for iphone,1.0,3,,4.6,156,4.7,466,,
apple cider vinegar,6.0,5,5.0,4.7,1678,4.8,2979,4.8,2979
apple ear pods,,3,6.0,,,4.8,137644,3.9,3
