,product_order
60,
59,5.004277159965783
58,3.148664806695894
57,7.2796934865900385
56,3.905953735305271
55,6.245325355273
54,4.226387357589122
53,4.429920116194626
52,4.142857142857142
51,4.580690627202255
50,4.791885274571529
49,4.587788892721628
48,5.205570291777188
47,4.90228552500828
46,4.73353194306521
45,4.698874917273329
44,5.423280423280423
43,4.72414932276181
42,4.68801584681413
41,5.445544554455446
40,5.672823218997362
39,5.531774777741192
38,5.036208031599736
37,5.0
36,5.325443786982249
35,5.48440065681445
34,4.496225795864785
33,3.9382999671808334
32,3.5761154855643045
31,3.5081967213114753
30,3.7037037037037033
29,3.9318479685452163
28,4.387688277668631
27,4.746317512274959
26,4.582651391162029
25,5.301047120418848
24,5.9882198952879575
23,5.49738219895288
22,6.41025641025641
21,6.624240671102112
20,6.008087810514154
19,4.525799942346498
18,5.125251943564642
17,10.146593848807129
16,5.760963026655202
15,8.942390369733449
14,8.45272206303725
13,8.624641833810887
12,6.332378223495702
11,5.558739255014326
10,7.275852191349183
9,6.502434832426239
8,6.273274133486108
7,9.33829848181037
6,7.877399026067029
5,8.049269550272129
4,5.213405900887998
3,5.070180464050416
2,4.640504153537668
1,19.53035509736541
