,product_order
60,
59,
58,1.6739736946990835
57,2.10727969348659
56,2.844141069397042
55,4.412864622288707
54,4.667401690554943
53,5.991285403050109
52,7.107142857142858
51,7.575757575757576
50,7.065407485134663
49,7.519834425664023
48,7.957559681697612
47,8.247764160317987
46,7.944389275074479
45,7.677035076108537
44,7.638888888888889
43,7.664354146019161
42,7.329151535160119
41,6.996699669966996
40,6.992084432717678
39,6.453737240698057
38,6.550362080315997
37,5.559210526315789
36,6.21301775147929
35,5.55008210180624
34,4.332129963898916
33,4.069576632753527
32,3.4448818897637796
31,4.131147540983607
30,3.44149459193707
29,3.8335517693315855
28,4.322200392927308
27,4.4189852700491
26,5.7937806873977085
25,6.18455497382199
24,6.020942408376963
23,6.708115183246073
22,6.002331002331003
21,5.669655770899624
20,4.997111496244945
19,4.987027961948688
18,5.154045493809386
17,4.3978154642138545
16,5.388363427916308
15,5.359701920321009
14,5.8166189111747855
13,5.988538681948424
12,6.446991404011461
11,7.306590257879657
10,6.73159553136637
9,6.101403609281008
8,6.559725007161271
7,6.645660269263821
6,6.674305356631338
5,5.729017473503294
4,5.2706960756230306
3,4.78372959037525
2,3.5519908335720425
1,1.7468499427262314
