,Category,Perc Products,Perc #1 spot,Perc first row
0,Unaffiliated,5.8085467168620095,4.209621993127148,13.917525773195877
1,Amazon brands,5.8010814039054255,19.53035509736541,24.7709049255441
2,Competing brands,76.88099224673925,20.81901489117984,63.51660939289805
3,Sponsored,17.317926349355318,59.65063001145475,75.28636884306988
