,product_order
60,100.0
59,94.99572284003422
58,71.26345157433241
57,64.90421455938697
56,53.88699279484263
55,31.899775617053105
54,21.75670709298052
53,15.250544662309368
52,5.821428571428571
51,0.42283298097251587
50,0.3147953830010493
49,0.2069679199724043
48,0.1989389920424403
47,0.1987413050679033
46,0.165508109897385
45,0.13236267372600927
44,0.0992063492063492
43,0.13214403700033034
42,0.13205678441729946
41,0.16501650165016502
40,0.1978891820580475
39,0.29634507737899246
38,0.32916392363396973
37,0.19736842105263158
36,0.1643655489809336
35,0.2627257799671593
34,22.61240564489662
33,25.828683951427635
32,35.006561679790025
31,31.278688524590166
30,38.249754178957716
29,33.65006553079948
28,22.65880812049771
27,17.97054009819967
26,13.911620294599016
25,6.217277486910995
24,4.024869109947644
23,4.286649214659686
22,13.927738927738927
21,10.558287532542666
20,7.625649913344887
19,26.289997117324877
18,26.921969478836736
17,32.94050014371946
16,19.83376325594726
15,23.588420750931498
14,18.79656160458453
13,6.131805157593123
12,6.848137535816619
11,2.1203438395415475
10,1.4895445431108565
9,0.8879977083930106
8,
7,3.40876539673446
6,0.14322543683758235
5,0.2578057863076483
4,31.652821541105702
3,33.858493268404466
2,51.76167287310226
1,59.65063001145475
